Date,Stock,Close,Predicted_Close,Mean_Abs_Error
2022-12-08,vsmpx,179.57000732421875,179.27786535918693,1.383424318432998
2022-12-08,vfiax,364.1499938964844,363.4583734939521,1.5395060560463938
2022-12-08,agthx,53.02000045776367,52.951905471489354,0.179195947792114
2022-12-08,oxy,63.43000030517578,63.310318343750794,0.4979222375640927
2022-12-08,xom,104.88999938964844,104.63447679241304,0.2994288222865367
2022-12-08,vrtx,323.1600036621094,321.62174312043805,1.632938911231039
2022-12-08,enph,320.5,315.3010910003848,2.270742569303667
2022-12-08,four,47.42499923706055,47.7729638547228,2.394391203256216
2022-12-08,on,70.13999938964844,69.30048442593053,0.4546737044716293
2022-12-08,vsmpx,179.57000732421875,179.17544621197658,1.3941265214749121
2022-12-08,vfiax,364.1499938964844,363.2284204251086,1.5677941080595128
2022-12-08,agthx,53.02000045776367,52.93080918368721,0.17648132375505934
2022-12-08,oxy,63.95000076293945,63.83738420084217,0.5052658363154617
2022-12-08,vrtx,324.0400085449219,322.6173173560729,1.6901933209035398
2022-12-08,enph,317.44000244140625,312.7103729196238,2.2101248511441174
2022-12-08,four,47.44499969482422,47.69512020825802,2.5051669440256585
2022-12-08,on,72.05000305175781,71.3319702126637,0.4405189761064501
2022-12-08,vsmpx,179.57000732421875,179.15536516627603,1.5359440904235298
2022-12-08,vfiax,364.1499938964844,363.30298719722214,1.698148384655704
2022-12-08,agthx,53.02000045776367,52.909535347957956,0.16971163260234995
2022-12-08,oxy,63.560001373291016,63.423849142806475,0.5244561895707259
2022-12-08,xom,105.18000030517578,104.9296672328278,0.29117042071845367
2022-12-08,vrtx,323.8949890136719,322.3370683944705,1.6057072992683707
2022-12-08,enph,317.6741943359375,312.5797316705534,2.183722299745363
2022-12-08,four,47.41999816894531,47.82161092193951,2.5726951294082614
2022-12-08,on,71.98999786376953,71.39938844261472,0.45281114781926163
